,Song Rank,Song Title,Song Artist,Song Year
81,"
7
","
Problem
","
Ariana Grande Featuring Iggy Azalea
",2014
82,"
8
","
Talk Dirty
","
Jason Derulo Featuring 2 Chainz
",2014
83,"
9
","
Rude
","

MAGIC!

",2014
84,"
10
","
Timber
","
Pitbull Featuring Ke$ha
",2014
85,"
11
","
Turn Down For What
","
DJ Snake & Lil Jon
",2014
86,"
12
","
Anaconda
","

Nicki Minaj

",2014
87,"
13
","
Counting Stars
","

OneRepublic

",2014
88,"
14
","
Gangnam Style
","

PSY

",2014
89,"
15
","
Shake It Off
","

Taylor Swift

",2014
90,"
16
","
Wiggle
","
Jason Derulo Featuring Snoop Dogg
",2014
91,"
17
","
Wrecking Ball
","

Miley Cyrus

",2014
92,"
18
","
Chandelier
","

Sia

",2014
93,"
19
","
Loyal
","
Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
",2014
94,"
20
","
Hot Boy
","

Bobby Shmurda

",2014
95,"
21
","
Stay With Me
","

Sam Smith

",2014
96,"
22
","
Royals
","

Lorde

",2014
97,"
23
","
Habits (Stay High)
","

Tove Lo

",2014
98,"
24
","
Sail
","

AWOLNATION

",2014
99,"
25
","
Bang Bang
","
Jessie J, Ariana Grande & Nicki Minaj
",2014
100,"
26
","
Let Her Go
","

Passenger

",2014
101,"
27
","
The Monster
","

Eminem Featuring Rihanna

",2014
102,"
28
","
Say Something
","
A Great Big World & Christina Aguilera
",2014
103,"
29
","
Or Nah
","
Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard
",2014
104,"
30
","
Pompeii
","

Bastille

",2014
105,"
31
","
Black Widow
","
Iggy Azalea Featuring Rita Ora
",2014
106,"
32
","
Break Free
","
Ariana Grande Featuring Zedd
",2014
107,"
33
","
Drunk In Love
","
Beyonce Featuring Jay Z
",2014
108,"
34
","
Shower
","

Becky G

",2014
109,"
35
","
Radioactive
","

Imagine Dragons

",2014
110,"
36
","
My Hitta
","
YG Featuring Jeezy & Rich Homie Quan
",2014
111,"
37
","
Am I Wrong
","

Nico & Vinz

",2014
112,"
38
","
Summer
","

Calvin Harris

",2014
113,"
39
","
Wake Me Up!
","

Avicii

",2014
114,"
40
","
Lifestyle
","
Rich Gang Featuring Young Thug & Rich Homie Quan
",2014
115,"
41
","
Bailando
","
Enrique Iglesias Featuring Descemer Bueno & Gente de Zona
",2014
116,"
42
","
Rather Be
","
Clean Bandit Featuring Jess Glynne
",2014
117,"
43
","
Story Of My Life
","

One Direction

",2014
118,"
44
","
Maps
","

Maroon 5

",2014
119,"
45
","
Roar
","

Katy Perry

",2014
120,"
46
","
Rap God
","

Eminem

",2014
121,"
47
","
23
","
Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J
",2014
122,"
48
","
Show Me
","
Kid Ink Featuring Chris Brown
",2014
123,"
49
","
Demons
","

Imagine Dragons

",2014
124,"
50
","
Team
","

Lorde

",2014
125,"
51
","
Can't Hold Us
","
Macklemore & Ryan Lewis Featuring Ray Dalton
",2014
126,"
52
","
Na Na
","

Trey Songz

",2014
127,"
53
","
Classic
","

MKTO

",2014
128,"
54
","
Burn
","

Ellie Goulding

",2014
129,"
55
","
Can't Remember To Forget You
","
Shakira Featuring Rihanna
",2014
130,"
56
","
Boom Clap
","

Charli XCX

",2014
131,"
57
","
Animals
","

Martin Garrix

",2014
132,"
58
","
We Dem Boyz
","

Wiz Khalifa

",2014
133,"
59
","
Animals
","

Maroon 5

",2014
134,"
60
","
This Is How We Do
","

Katy Perry

",2014
135,"
61
","
No Flex Zone
","

Rae Sremmurd

",2014
136,"
62
","
Latch
","
Disclosure Featuring Sam Smith
",2014
137,"
63
","
Work
","

Iggy Azalea

",2014
138,"
64
","
Let It Go
","

Demi Lovato

",2014
139,"
65
","
New Flame
","
Chris Brown Featuring Usher & Rick Ross
",2014
140,"
66
","
The Man
","

Aloe Blacc

",2014
141,"
67
","
She Looks So Perfect
","

5 Seconds Of Summer

",2014
142,"
68
","
2 On
","
Tinashe Featuring ScHoolboy Q
",2014
143,"
69
","
Hold On, We're Going Home
","
Drake Featuring Majid Jordan
",2014
144,"
70
","
Adore You
","

Miley Cyrus

",2014
145,"
71
","
Don't Tell 'Em
","
Jeremih Featuring YG
",2014
146,"
72
","
Cool Kids
","

Echosmith

",2014
147,"
73
","
Hey Brother
","

Avicii

",2014
148,"
74
","
Trumpets
","

Jason Derulo

",2014
149,"
75
","
Don't
","

Ed Sheeran

",2014
150,"
1
","
Trap Queen
","

Fetty Wap

",2015
151,"
2
","
Uptown Funk!
","
Mark Ronson Featuring Bruno Mars
",2015
152,"
3
","
Watch Me
","

Silento

",2015
153,"
4
","
See You Again
","
Wiz Khalifa Featuring Charlie Puth
",2015
154,"
5
","
Thinking Out Loud
","

Ed Sheeran

",2015
155,"
6
","
The Hills
","

The Weeknd

",2015
156,"
7
","
Sugar
","

Maroon 5

",2015
157,"
8
","
Earned It (Fifty Shades Of Grey)
","

The Weeknd

",2015
158,"
9
","
Cheerleader
","

OMI

",2015
159,"
10
","
Can't Feel My Face
","

The Weeknd

",2015
160,"
11
","
679
","
Fetty Wap Featuring Remy Boyz
",2015
161,"
12
","
Shake It Off
","

Taylor Swift

",2015
162,"
13
","
Post To Be
","
Omarion Featuring Chris Brown & Jhene Aiko
",2015
163,"
14
","
Lean On
","
Major Lazer & DJ Snake Featuring MO
",2015
164,"
15
","
 Blank Space
","

Taylor Swift

",2015
165,"
16
","
Where Are U Now
","
Skrillex & Diplo With Justin Bieber
",2015
166,"
17
","
All About That Bass
","

Meghan Trainor

",2015
167,"
18
","
Take Me To Church
","

Hozier

",2015
168,"
19
","
Love Me Like You Do
","

Ellie Goulding

",2015
169,"
20
","
Hotline Bling
","

Drake

",2015
170,"
21
","
Nasty Freestyle
","

T-Wayne

",2015
171,"
22
","
What Do You Mean?
","

Justin Bieber

",2015
172,"
23
","
Worth It
","
Fifth Harmony Featuring Kid Ink
",2015
173,"
24
","
Gangnam Style
","

PSY

",2015
174,"
25
","
No Type
","

Rae Sremmurd

",2015
175,"
26
","
My Way
","
Fetty Wap Featuring Monty
 ",2015
176,"
27
","
Good For You
","
Selena Gomez Featuring A$AP Rocky
",2015
177,"
28
","
7/11
","

Beyonce

",2015
178,"
29
","
Hot Boy
","

Bobby Shmurda

",2015
179,"
30
","
I Don't F**k With You
","
Big Sean Featuring E-40
",2015
180,"
31
","
Shut Up And Dance
","

WALK THE MOON

",2015
181,"
32
","
Hello
","

Adele

",2015
182,"
33
","
Only
","
Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown
",2015
183,"
34
","
G.D.F.R.
","
Flo Rida Featuring Sage The Gemini & Lookas
",2015
184,"
35
","
Bad Blood
","
Taylor Swift Featuring Kendrick Lamar
",2015
185,"
36
","
Flex (Ooh Ooh Ooh)
","

Rich Homie Quan

",2015
186,"
37
","
Lips Are Movin
","

Meghan Trainor

",2015
187,"
38
","
Chandelier
","

Sia

",2015
188,"
39
","
B**** Better Have My Money
","

Rihanna

",2015
189,"
40
","
Elastic Heart
","

Sia

",2015
190,"
41
","
I'm Not The Only One
","

Sam Smith

",2015
191,"
42
","
Stitches
","

Shawn Mendes

",2015
192,"
43
","
Hit The Quan
","
iLoveMemphis
",2015
193,"
44
","
Let It Go
","

Idina Menzel

",2015
194,"
45
","
Often
","

The Weeknd

",2015
195,"
46
","
CoCo
","

O.T. Genasis

",2015
196,"
47
","
Slow Motion
","

Trey Songz

",2015
197,"
48
","
Hey Mama
","
David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack
",2015
198,"
49
","
Centuries
","

Fall Out Boy

",2015
199,"
50
","
All Eyes On You
","
Meek Mill Featuring Chris Brown & Nicki Minaj
",2015
200,"
51
","
Want To Want Me
","

Jason Derulo

",2015
201,"
52
","
Love Me Harder
","
Ariana Grande & The Weeknd
",2015
202,"
53
","
Blessings
","
Big Sean Featuring Drake
",2015
203,"
54
","
Bang Bang
","
Jessie J, Ariana Grande & Nicki Minaj
",2015
204,"
55
","
Somebody
","
Natalie La Rose Featuring Jeremih
",2015
205,"
56
","
Locked Away
","
R. City Featuring Adam Levine
",2015
206,"
57
","
Classic Man
","
Jidenna Featuring Roman GianArthur
",2015
207,"
58
","
Dear Future Husband
","

Meghan Trainor

",2015
208,"
59
","
Jumpman
","
Drake & Future
",2015
209,"
60
","
Drag Me Down
","

One Direction

",2015
210,"
61
","
Tuesday
","
I LOVE MAKONNEN Featuring Drake
",2015
211,"
62
","
FourFiveSeconds
","
Rihanna & Kanye West & Paul McCartney
",2015
212,"
63
","
I Don't Mind
","
Usher Featuring Juicy J
",2015
213,"
64
","
Photograph
","

Ed Sheeran

",2015
214,"
65
","
Stay With Me
","

Sam Smith

",2015
215,"
66
","
Back To Back
","

Drake

",2015
216,"
67
","
Fight Song
","

Rachel Platten

",2015
217,"
68
","
Cool For The Summer
","

Demi Lovato

",2015
218,"
69
","
Jealous
","

Nick Jonas

",2015
219,"
70
","
The Heart Wants What It Wants
","

Selena Gomez

",2015
220,"
71
","
Again
","

Fetty Wap

",2015
221,"
72
","
Energy
","

Drake

",2015
222,"
73
","
One Last Time
","

Ariana Grande

",2015
223,"
74
","
Where Ya At
","
Future Featuring Drake
",2015
224,"
75
","
You Know You Like It
","
DJ Snake & AlunaGeorge
",2015
225,"
1
","
Panda
","

Desiigner

",2016
226,"
2
","
Work
","
Rihanna Featuring Drake
",2016
227,"
3
","
Sorry
","

Justin Bieber

",2016
228,"
4
","
One Dance
","
Drake Featuring WizKid & Kyla
",2016
229,"
5
","
Needed Me
","

Rihanna

",2016
230,"
6
","
Love Yourself
","

Justin Bieber

",2016
231,"
7
","
Closer
","
The Chainsmokers Featuring Halsey
",2016
232,"
8
","
Stressed Out
","

twenty one pilots

",2016
233,"
9
","
Don't Let Me Down
","

The Chainsmokers Featuring Daya

",2016
234,"
10
","
Hello
","

Adele

",2016
235,"
11
","
Work From Home
","
Fifth Harmony Featuring Ty Dolla $ign
",2016
236,"
12
","
Don't
","

Bryson Tiller

",2016
237,"
13
","
Low Life
","
Future Featuring The Weeknd
",2016
238,"
14
","
7 Years
","

Lukas Graham

",2016
239,"
15
","
Me, Myself & I
","
G-Eazy x Bebe Rexha
",2016
240,"
16
","
Hotline Bling
","

Drake

",2016
241,"
17
","
Heathens
","

twenty one pilots

",2016
242,"
18
","
This Is What You Came For
","
Calvin Harris Featuring Rihanna
",2016
243,"
19
","
I Took A Pill In Ibiza
","

Mike Posner

",2016
244,"
20
","
Cheap Thrills
","
Sia Featuring Sean Paul
",2016
245,"
21
","
What Do You Mean?
","

Justin Bieber

",2016
246,"
22
","
Exchange
","

Bryson Tiller

",2016
247,"
23
","
Pillowtalk
","

Zayn

",2016
248,"
24
","
Broccoli
","
D.R.A.M. Featuring Lil Yachty
",2016
249,"
25
","
Cold Water
","
Major Lazer Featuring Justin Bieber & MO
",2016
250,"
26
","
Jumpman
","
Drake & Future
",2016
251,"
27
","
The Hills
","

The Weeknd

",2016
252,"
28
","
Ride
","

twenty one pilots

",2016
253,"
29
","
2 Phones
","

Kevin Gates

",2016
254,"
30
","
Too Good
","
Drake Featuring Rihanna
",2016
255,"
31
","
Can't Stop The Feeling!
","

Justin Timberlake

",2016
256,"
32
","
My House
","

Flo Rida

",2016
257,"
33
","
Watch Me
","

Silento

",2016
258,"
34
","
Controlla
","

Drake

",2016
259,"
35
","
679
","
Fetty Wap Featuring Remy Boyz
",2016
260,"
36
","
Roses
","
The Chainsmokers Featuring Rozes
",2016
261,"
 37
","
I Hate U I Love U
","
gnash Featuring Olivia O'Brien
",2016
262,"
38
","
White Iverson
","

Post Malone

",2016
263,"
39
","
Oui
","

Jeremih

",2016
264,"
40
","
Stitches
","

Shawn Mendes

",2016
265,"
41
","
Into You
","

Ariana Grande

",2016
266,"
42
","
Don't Mind
","

Kent Jones

",2016
267,"
43
","
Cake By The Ocean
","

DNCE

",2016
268,"
44
","
Let Me Love You
","
DJ Snake Featuring Justin Bieber
",2016
269,"
45
","
Trap Queen
","

Fetty Wap

",2016
270,"
46
","
 Never Forget You
","
Zara Larsson & MNEK
",2016
271,"
47
","
Really Really
","

Kevin Gates

",2016
272,"
48
","
Starboy
","
The Weeknd Featuring Daft Punk
",2016
273,"
49
","
Uptown Funk!
","
Mark Ronson Featuring Bruno Mars
",2016
274,"
50
","
Treat You Better
","

Shawn Mendes

",2016
275,"
51
","
Sucker For Pain
","

Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors

",2016
276,"
52
","
Down In The DM
","
Yo Gotti Featuring Nicki Minaj
",2016
277,"
53
","
Tiimmy Turner
","

Desiigner

",2016
278,"
54
","
Lean On
","
Major Lazer & DJ Snake Featuring MO
",2016
279,"
55
","
Antidote
","

Travis Scott

",2016
280,"
56
","
We Don't Talk Anymore
","
Charlie Puth Featuring Selena Gomez
",2016
281,"
57
","
Dangerous Woman
","

Ariana Grande

",2016
282,"
58
","
Side To Side
","
Ariana Grande Featuring Nicki Minaj
",2016
283,"
59
","
Can't Feel My Face
","

The Weeknd

",2016
284,"
60
","
Pop Style
","
Drake Featuring The Throne
",2016
285,"
61
","
Say It
","

Tory Lanez

",2016
286,"
62
","
See You Again
","
Wiz Khalifa Featuring Charlie Puth
",2016
287,"
63
","
Here
","

Alessia Cara

",2016
288,"
64
","
Middle
","
DJ Snake Featuring Bipolar Sunshine
",2016
289,"
65
","
Cut It
","
O.T. Genasis Featuring Young Dolph
",2016
290,"
66
","
Same Old Love
","

Selena Gomez

",2016
291,"
67
","
Hands To Myself
","

Selena Gomez

",2016
292,"
68
","
Never Be Like You
","
Flume Featuring Kai
",2016
293,"
69
","
Close
","
Nick Jonas Featuring Tove Lo
",2016
294,"
70
","
For Free
","
DJ Khaled Featuring Drake
",2016
295,"
71
","
Black Beatles
","
Rae Sremmurd Featuring Gucci Mane
",2016
296,"
72
","
Send My Love (To Your New Lover)
","

Adele

",2016
297,"
73
","
Money Longer
","

Lil Uzi Vert

",2016
298,"
74
","
Me Too
","

Meghan Trainor

",2016
299,"
75
","
Gold
","

Kiiara

",2016
300,"
1
","
Despacito
","
Luis Fonsi & Daddy Yankee Featuring Justin Bieber
",2017
301,"
2
","
Shape Of You
","

Ed Sheeran

",2017
302,"
3
","
Bad And Boujee
","
Migos Featuring Lil Uzi Vert
",2017
303,"
4
","
Humble.
","

Kendrick Lamar

",2017
304,"
5
","
That's What I Like
","

Bruno Mars

",2017
305,"
6
","
Congratulations
","
Post Malone Featuring Quavo
",2017
306,"
7
","
XO TOUR Llif3
","

Lil Uzi Vert

",2017
307,"
8
","
Mask Off
","

Future

",2017
308,"
9
","
Closer
","
The Chainsmokers Featuring Halsey
",2017
309,"
10
","
I'm The One
","
DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne
",2017
310,"
11
","
 iSpy
","
KYLE Featuring Lil Yachty
",2017
311,"
12
","
Unforgettable
","
French Montana Featuring Swae Lee
",2017
312,"
13
","
Black Beatles
","
Rae Sremmurd Featuring Gucci Mane
",2017
313,"
14
","
Bodak Yellow (Money Moves)
","

Cardi B

",2017
314,"
15
","
Location
","

Khalid

",2017
315,"
16
","
Starboy
","
The Weeknd Featuring Daft Punk
",2017
316,"
17
","
Wild Thoughts
","
DJ Khaled Featuring Rihanna & Bryson Tiller
",2017
317,"
18
","
Bank Account
","

21 Savage

",2017
318,"
19
","
Bounce Back
","

Big Sean

",2017
319,"
20
","
Juju On That Beat (TZ Anthem)
","

Zay Hilfigerrr & Zayion McCall

",2017
320,"
21
","
Tunnel Vision
","

Kodak Black

",2017
321,"
22
","
24K Magic
","

Bruno Mars

",2017
322,"
23
","
Rolex
","

Ayo & Teo

",2017
323,"
24
","
Body Like A Back Road
","

Sam Hunt

",2017
324,"
25
","
T-Shirt
","

Migos

",2017
325,"
26
","
Drowning
","
A Boogie Wit da Hoodie Featuring Kodak Black
",2017
326,"
27
","
Swang
","

Rae Sremmurd

",2017
327,"
28
","
1-800-273-8255
","
Logic Featuring Alessia Cara & Khalid
",2017
328,"
29
","
Believer
","

Imagine Dragons

",2017
329,"
30
","
Rockstar
","
Post Malone Featuring 21 Savage
",2017
330,"
31
","
Something Just Like This
","
The Chainsmokers & Coldplay
",2017
331,"
32
","
Fake Love
","

Drake

",2017
332,"
33
","
Redbone
","

Childish Gambino

",2017
333,"
34
","
Say You Won't Let Go
","

James Arthur

",2017
334,"
35
","
Look What You Made Me Do
","

Taylor Swift

",2017
335,"
36
","
DNA.
","

Kendrick Lamar

",2017
336,"
37
","
Rake It Up
","
Yo Gotti Featuring Nicki Minaj
",2017
337,"
38
","
Stay
","
Zedd & Alessia Cara
",2017
338,"
39
","
Caroline
","

Amine

",2017
339,"
40
","
Slippery
","
Migos Featuring Gucci Mane
",2017
340,"
41
","
Issues
","

Julia Michaels

",2017
341,"
42
","
Mi Gente
","
J Balvin & Willy William Featuring Beyonce
",2017
342,"
43
","
Attention
","

Charlie Puth

",2017
343,"
44
","
Broccoli
","
D.R.A.M. Featuring Lil Yachty
",2017
344,"
45
","
Can't Stop The Feeling!
","

Justin Timberlake

",2017
345,"
46
","
Magnolia
","

Playboi Carti

",2017
346,"
47
","
Sorry Not Sorry
","

Demi Lovato

",2017
347,"
48
","
Look At Me!
","

XXXTENTACION

",2017
348,"
49
","
I Get The Bag
","
Gucci Mane Featuring Migos
",2017
349,"
50
","
It Ain't Me
","
Kygo x Selena Gomez
",2017
350,"
51
","
I Don't Wanna Live Forever (Fifty Shades Darker)
","
Zayn / Taylor Swift
",2017
351,"
52
","
Young Dumb & Broke
","

Khalid

",2017
352,"
53
","
Paris
","

The Chainsmokers

",2017
353,"
54
","
Side To Side
","
Ariana Grande Featuring Nicki Minaj
",2017
354,"
55
","
Strip That Down
","
Liam Payne Featuring Quavo
",2017
355,"
56
","
Heathens
","

twenty one pilots

",2017
356,"
57
","
There's Nothing Holdin' Me Back
","

Shawn Mendes

",2017
357,"
58
","
Bad Things
","
Machine Gun Kelly x Camila Cabello
",2017
358,"
59
","
Passionfruit
","

Drake

",2017
359,"
60
","
Both
","
Gucci Mane Featuring Drake
",2017
360,"
61
","
Slide
","
Calvin Harris Featuring Frank Ocean & Migos
",2017
361,"
62
","
I Feel It Coming
","
The Weeknd Featuring Daft Punk
",2017
362,"
63
","
Rockabye
","
Clean Bandit Featuring Sean Paul & Anne-Marie
",2017
363,"
64
","
Don't Let Me Down
","

The Chainsmokers Featuring Daya

",2017
364,"
65
","
Love Galore
","
SZA Featuring Travis Scott
",2017
365,"
66
","
The Race
","

Tay-K

",2017
366,"
67
","
Portland
","
Drake Featuring Quavo & Travis Scott
",2017
367,"
68
","
Butterfly Effect
","

Travis Scott

",2017
368,"
69
","
Loyalty.
","
Kendrick Lamar Featuring Rihanna
",2017
369,"
70
","
Gucci Gang
","

Lil Pump

",2017
370,"
71
","
Let Me Love You
","
DJ Snake Featuring Justin Bieber
",2017
371,"
72
","
Love.
","
Kendrick Lamar Featuring Zacari
",2017
372,"
73
","
Goosebumps
","

Travis Scott

",2017
373,"
74
","
Everyday We Lit
","
YFN Lucci Featuring PnB Rock
",2017
374,"
75
","
Silence
","

Marshmello Featuring Khalid

",2017
375,"
1
","
God's Plan
","

Drake

",2018
376,"
2
","
Rockstar
","
Post Malone Featuring 21 Savage
",2018
377,"
3
","
Perfect
","

Ed Sheeran

",2018
378,"
4
","
Psycho
","
Post Malone Featuring Ty Dolla $ign
",2018
379,"
5
","
In My Feelings
","

Drake

",2018
380,"
6
","
Sad!
","

XXXTENTACION

",2018
381,"
7
","
Havana
","
Camila Cabello Featuring Young Thug
",2018
382,"
8
","
Lucid Dreams
","

Juice WRLD

",2018
383,"
9
","
I Like It
","
Cardi B, Bad Bunny & J Balvin
 ",2018
384,"
10
","
Meant To Be
","
Bebe Rexha & Florida Georgia Line
",2018
385,"
11
","
Nice For What
","

Drake

",2018
386,"
12
","
I Fall Apart
","

Post Malone

",2018
387,"
13
","
Look Alive
","
BlocBoy JB Featuring Drake
",2018
388,"
14
","
Despacito
","
Luis Fonsi & Daddy Yankee Featuring Justin Bieber
",2018
389,"
15
","
Believer
","

Imagine Dragons

",2018
390,"
16
","
Yes Indeed
","
 Lil Baby & Drake
",2018
391,"
17
","
Ric Flair Drip
","
Offset & Metro Boomin
",2018
392,"
18
","
Gucci Gang
","

Lil Pump

",2018
393,"
19
","
Girls Like You
","
Maroon 5 Featuring Cardi B
",2018
394,"
20
","
Better Now
","

Post Malone

",2018
395,"
21
","
Boo'd Up
","

Ella Mai

",2018
396,"
22
","
FEFE
","
6ix9ine Featuring Nicki Minaj & Murda Beatz
",2018
397,"
23
","
Walk It Talk It
","
Migos Featuring Drake
",2018
398,"
24
","
Plug Walk
","

Rich The Kid

",2018
399,"
25
","
Gummo
","
6ix9ine
",2018
400,"
26
","
Bodak Yellow (Money Moves)
","

Cardi B

",2018
401,"
27
","
Taste
","
Tyga Featuring Offset
",2018
402,"
28
","
MotorSport
","
Migos, Nicki Minaj & Cardi B
",2018
403,"
29
","
Mine
 ","
Bazzi
",2018
404,"
30
","
No Limit
","
G-Eazy Featuring A$AP Rocky & Cardi B
",2018
405,"
31
","
Sicko Mode
","

Travis Scott

",2018
406,"
32
","
Nonstop
","

 Drake

",2018
407,"
33
","
Finesse
","
Bruno Mars & Cardi B
",2018
408,"
34
","
The Middle
","
Zedd, Maren Morris & Grey
",2018
409,"
35
","
Moonlight
","

XXXTENTACION

",2018
410,"
36
","
No Tears Left To Cry
","

Ariana Grande

",2018
411,"
37
","
Stir Fry
","

Migos

",2018
412,"
38
","
Freaky Friday
","
Lil Dicky Featuring Chris Brown
",2018
413,"
39
","
This Is America
","

Childish Gambino

",2018
414,"
40
","
Thunder
","

Imagine Dragons

",2018
415,"
41
","
Let You Down
","

NF

",2018
416,"
42
","
Love Lies
","
Khalid & Normani
",2018
417,"
43
","
Friends
","
Marshmello & Anne-Marie
",2018
418,"
44
","
Bartier Cardi
","
Cardi B Featuring 21 Savage
",2018
419,"
45
","
Young Dumb & Broke
","

Khalid

",2018
420,"
46
","
New Rules
","

Dua Lipa

",2018
